transaction_id,timestamp,user_id,receiver_id,amount,transaction_type,location,device_type,is_rooted_device,network_type,time_of_day,is_fraud
1,2024-06-09 12:35:00,user_2622,user_4447,9666.86,receive,Bangalore,tablet,0,5G,afternoon,0
2,2024-07-31 05:24:00,user_514,user_4403,3344.52,send,Bangalore,tablet,0,WiFi,night,0
3,2024-10-18 02:08:00,user_4415,user_3043,47735.43,receive,Kolkata,tablet,0,4G,night,0
4,2024-12-10 13:41:00,user_4004,user_2811,10493.61,merchant_payment,Kolkata,tablet,0,5G,afternoon,1
5,2024-07-17 04:50:00,user_3579,user_1654,42588.73,merchant_payment,Hyderabad,mobile,0,4G,night,0
6,2024-05-02 05:03:00,user_1938,user_2255,5961.24,merchant_payment,Pune,tablet,0,4G,night,1
7,2024-09-22 03:05:00,user_2151,user_232,26549.62,receive,Mumbai,tablet,0,4G,night,0
8,2024-07-13 05:30:00,user_114,user_3355,15460.85,merchant_payment,Ahmedabad,tablet,0,4G,night,1
9,2024-05-03 00:00:00,user_4624,user_532,35005.22,merchant_payment,Delhi,mobile,0,WiFi,night,0
10,2024-01-26 00:06:00,user_2067,user_1378,31138.55,merchant_payment,Bangalore,tablet,0,WiFi,night,0
11,2024-05-14 14:53:00,user_4144,user_466,41999.16,receive,Kolkata,tablet,0,4G,afternoon,0
12,2024-04-18 21:16:00,user_2220,user_695,33188.26,receive,Delhi,tablet,0,5G,evening,0
13,2024-09-18 10:26:00,user_694,user_1885,48456.79,send,Ahmedabad,mobile,0,5G,morning,0
14,2024-12-19 22:40:00,user_3908,user_4989,12389.23,send,Chennai,tablet,0,WiFi,evening,0
15,2024-03-29 11:04:00,user_4170,user_3669,1304.36,receive,Kolkata,tablet,1,4G,morning,0
16,2024-11-12 13:52:00,user_1987,user_4124,16837.78,receive,Mumbai,mobile,0,4G,afternoon,0
17,2024-07-08 17:58:00,user_537,user_893,5815.83,merchant_payment,Delhi,mobile,0,5G,afternoon,0
18,2024-12-09 20:22:00,user_3572,user_2424,19130.73,receive,Mumbai,tablet,0,WiFi,evening,0
19,2024-02-15 12:05:00,user_3824,user_4938,42681.73,send,Pune,mobile,0,4G,afternoon,1
20,2024-10-10 06:10:00,user_4113,user_4153,7003.24,send,Pune,tablet,0,4G,morning,0
21,2024-09-24 14:07:00,user_4650,user_3405,29392.05,send,Delhi,tablet,0,5G,afternoon,0
22,2024-12-29 10:11:00,user_2092,user_1085,11837.79,send,Kolkata,mobile,0,5G,morning,0
23,2024-05-27 06:50:00,user_2022,user_2971,34865.94,send,Kolkata,tablet,0,WiFi,morning,0
24,2024-04-08 11:00:00,user_4952,user_3934,18718.58,send,Bangalore,mobile,0,5G,morning,1
25,2024-07-29 09:13:00,user_1258,user_1283,14340.91,merchant_payment,Kolkata,mobile,0,WiFi,morning,0
26,2024-05-28 09:11:00,user_2925,user_3550,29341.65,send,Chennai,tablet,0,4G,morning,0
27,2024-11-01 15:51:00,user_936,user_136,26605.06,merchant_payment,Kolkata,tablet,0,WiFi,afternoon,0
